train/std,time/time_elapsed,train/reward_min,time/fps,train/n_updates,train/reward_max,time/total_timesteps,train/policy_loss,train/learning_rate,train/reward_mean,time/iterations,train/entropy_loss,train/reward,train/value_loss,train/explained_variance
1.0212005376815796,68,-0.5486777,264,3599,5.7283835,18000,-74.6814956665039,0.0007,1.3857925,3600,-40.289730072021484,0.7476924,6.47790002822876,0.0
1.0186970233917236,70,-1.0909508,264,3699,2.2063859,18500,109.81074523925781,0.0007,0.6386625,3700,-40.23225021362305,2.0922036,8.936470985412598,-1.1920928955078125e-07
1.0202194452285767,72,-3.5066442,263,3799,5.1156535,19000,41.338096618652344,0.0007,1.4099969,3800,-40.26628875732422,-0.011529246,2.292767286300659,0.0
1.0207144021987915,73,-3.7115648,264,3899,2.849654,19500,-229.1211395263672,0.0007,0.26377225,3900,-40.280189514160156,2.849654,33.28300857543945,0.0
1.0208141803741455,75,-1.8483809,264,3999,6.127327,20000,-26.031301498413086,0.0007,1.8482159,4000,-40.279884338378906,4.1920753,15.1609525680542,0.0
1.0204890966415405,77,0.050791036,264,4099,1.0052793,20500,-17.764846801757812,0.0007,0.53641605,4100,-40.267372131347656,0.19270293,1.5102038383483887,0.05754333734512329
1.0193136930465698,79,-1.5035213,264,4199,5.449105,21000,-176.01724243164062,0.0007,0.435396,4200,-40.23796844482422,-1.5035213,20.602909088134766,0.0
1.0178107023239136,81,-0.8850086,264,4299,3.063721,21500,-107.35014343261719,0.0007,0.64416295,4300,-40.19196319580078,1.105833,8.93367862701416,-0.011190533638000488
1.0205696821212769,83,-5.7237325,264,4399,2.2677546,22000,91.13937377929688,0.0007,-2.0467944,4400,-40.26432418823242,0.38557827,11.131854057312012,0.0
1.021087884902954,85,-3.8851678,264,4499,1.9003003,22500,264.8016357421875,0.0007,-0.32339326,4500,-40.27997970581055,1.8659239,45.28505325317383,0.0
1.0226926803588867,86,-12.590218,264,4599,-0.13665317,23000,178.94131469726562,0.0007,-5.1329656,4600,-40.322509765625,-0.13665317,32.472591400146484,0.0
1.0227583646774292,88,-1.7173797,264,4699,4.376707,23500,-119.67979431152344,0.0007,0.9522074,4700,-40.32168960571289,0.51189125,16.737262725830078,-0.002129077911376953
1.0206857919692993,90,-2.2764897,264,4799,6.1841283,24000,-323.0606689453125,0.0007,0.6753868,4800,-40.26388931274414,-2.2764897,69.4704360961914,0.0
1.0210052728652954,92,-2.8657093,264,4899,2.5247922,24500,-109.667724609375,0.0007,0.631088,4900,-40.26472091674805,1.4221598,13.518267631530762,-1.1920928955078125e-07
1.0211912393569946,95,-3.1027832,261,4999,6.092001,25000,63.11989212036133,0.0007,-0.309566,5000,-40.27415084838867,-1.3243701,6.955094814300537,0.0
1.0225509405136108,97,-2.915864,261,5099,9.956676,25500,793.8626708984375,0.0007,2.56714,5100,-40.3206672668457,2.656709,468.7168884277344,0.0
1.0229198932647705,99,-4.2401624,261,5199,12.910006,26000,-71.59893798828125,0.0007,3.6688344,5200,-40.31584930419922,12.910006,126.76896667480469,0.0
1.0226430892944336,101,-0.24360146,261,5299,0.41622928,26500,-29.6915283203125,0.0007,-0.07899966,5300,-40.31781768798828,-0.20690425,0.5933220982551575,1.1920928955078125e-07
1.0238958597183228,103,-3.6270704,261,5399,0.9586936,27000,-234.90609741210938,0.0007,-0.8455291,5400,-40.349090576171875,0.016704945,37.30672073364258,0.0
1.0224316120147705,105,-8.229756,261,5499,2.8725157,27500,68.59107971191406,0.0007,-1.1694949,5500,-40.303871154785156,0.52799016,10.881135940551758,0.0
1.0223195552825928,107,-0.37665948,261,5599,1.8577706,28000,-104.82493591308594,0.0007,0.5962581,5600,-40.302162170410156,1.8577706,8.973783493041992,-1.1920928955078125e-07
1.0203964710235596,108,-36.824062,261,5699,9.682127,28500,-361.97528076171875,0.0007,-9.654263,5700,-40.247867584228516,-5.0615454,119.89863586425781,0.0
1.0216327905654907,110,-1.9619714,261,5799,3.0412738,29000,426.6620178222656,0.0007,0.39279732,5800,-40.279998779296875,0.82355756,104.32060241699219,0.0
1.0205706357955933,112,-0.51167345,261,5899,0.55059254,29500,13.334829330444336,0.0007,0.20119348,5900,-40.26231002807617,0.5017739,0.602722704410553,-0.06889426708221436
1.0235120058059692,114,-2.1405153,261,5999,0.55038476,30000,-0.18684625625610352,0.0007,-0.6440344,6000,-40.337215423583984,-0.29243955,0.9406061172485352,0.0
1.0238744020462036,116,-7.737096,261,6099,5.6638875,30500,-47.54069137573242,0.0007,-1.2330735,6100,-40.3414306640625,-4.3202467,3.3253066539764404,0.0
