time/time_elapsed,train/reward_max,train/reward_mean,train/std,time/fps,train/value_loss,time/total_timesteps,train/entropy_loss,train/policy_loss,train/reward,time/iterations,train/reward_min,train/explained_variance,train/n_updates,train/learning_rate
99,,,1.0343536138534546,262,69.4393310546875,26000,-42.09568405151367,-89.63729095458984,8.865934,5200,,0.0025762319564819336,5199,0.0007
101,,,1.0366332530975342,262,0.6904346942901611,26500,-42.16435241699219,28.80135726928711,-0.17454392,5300,,-2.6226043701171875e-06,5299,0.0007
103,,,1.0391308069229126,261,40.26236343383789,27000,-42.2355842590332,-258.72930908203125,0.9414966,5400,,0.0,5399,0.0007
104,,,1.0409132242202759,261,40.245018005371094,27500,-42.28094482421875,-170.1544647216797,2.6856956,5500,,0.0,5499,0.0007
106,,,1.0405226945877075,261,38.66813659667969,28000,-42.26639175415039,-207.0131378173828,-0.12070782,5600,,0.0,5599,0.0007
109,,,1.0417368412017822,261,108.2711410522461,28500,-42.3107795715332,-406.9126892089844,-6.9087925,5700,,0.0,5699,0.0007
110,,,1.0423312187194824,261,4.084526062011719,29000,-42.333641052246094,-23.992155075073242,2.515849,5800,,0.013493597507476807,5799,0.0007
113,,,1.0441652536392212,260,0.35020336508750916,29500,-42.36393356323242,-11.223342895507812,0.25022376,5900,,0.0,5899,0.0007
115,,,1.0431361198425293,260,2.108262538909912,30000,-42.343658447265625,47.4345588684082,-0.13367221,6000,,0.0,5999,0.0007
117,,,1.0438354015350342,260,4.6005353927612305,30500,-42.377838134765625,33.5185432434082,-1.1981882,6100,,1.1920928955078125e-07,6099,0.0007
118,,,1.0438090562820435,260,2.681638240814209,31000,-42.35894775390625,-63.33318328857422,-0.51752657,6200,,0.0,6199,0.0007
120,,,1.0447912216186523,260,38.561832427978516,31500,-42.389862060546875,198.70748901367188,5.702756,6300,,0.0,6299,0.0007
122,,,1.0444928407669067,260,5.1071882247924805,32000,-42.38286209106445,92.32389068603516,1.8079667,6400,,-0.32827842235565186,6399,0.0007
124,,,1.044804573059082,260,2.168945789337158,32500,-42.389610290527344,-35.050479888916016,-3.6827068,6500,,0.0,6499,0.0007
